pdb,Hchain,Lchain,model,antigen_chain
4bz1,H,L,0,A
3gbm,I,M,0,D | C
2qqn,H,L,0,A
5mes,H,L,0,A
2ypv,H,L,0,A
4uu9,A,B,0,C
3vi4,F,E,0,B
5lqb,H,L,0,A
4xtr,C,D,0,B
5anm,B,A,0,G
5v7j,H,L,0,G
3sob,H,L,0,B
5gzo,C,D,0,B
4jlr,H,L,0,S
5fb8,B,A,0,C
4xp4,H,L,0,A
4d3c,H,L,0,A
4xvs,H,L,0,G
4mwf,H,L,0,C
3v6o,C,E,0,A
4i2x,B,A,0,E
3vg9,C,B,0,A
1fns,H,L,0,A
5ggv,H,L,0,Y
3kr3,H,L,0,D
4u6v,H,L,0,A
4zso,D,C,0,F
4j4p,C,D,0,B
4ht1,H,L,0,T
3zkm,C,D,0,B
4jpk,H,L,0,A
1ncb,H,L,0,N
3skj,H,L,0,E
4aei,I,M,0,B
2nyy,D,C,0,A
4nzt,H,L,0,M
5lxg,H,L,0,A
2bdn,H,L,0,A
4hcr,M,N,0,B
4dw2,H,L,0,U
3t2n,I,M,0,B
3iu3,H,L,0,I
1wej,H,L,0,F
4ywg,H,L,0,G
3u4e,A,B,0,J
3d85,B,A,0,C
4ogy,M,N,0,B
5tl5,H,L,0,A
4ala,H,L,0,C
4h88,H,L,0,A
1ztx,H,L,0,E
3ma9,H,L,0,A
3idx,H,L,0,G
4y5y,A,B,0,C
2yc1,D,E,0,F
4r8w,H,L,0,B | A
4qww,D,C,0,B
4g7v,H,L,0,S
4ene,E,F,0,B
5d70,H,L,0,A
4edw,H,L,0,V
3lev,H,L,0,A
3k2u,H,L,0,A
4xmp,H,L,0,G
1egj,H,L,0,A
1xiw,D,C,0,A | F
3cvh,H,L,0,A | C
1oaz,J,N,0,B
2arj,H,L,0,Q
4lqf,H,L,0,A
3hi6,X,Y,0,B
1rjl,B,A,0,C
3nps,B,C,0,A
4dvr,H,L,0,G
3b9k,D,C,0,F
5jq6,H,L,0,A
2xqy,G,L,0,A
1sy6,H,L,0,A
4dkf,H,L,0,A
5b3j,E,F,0,C
4etq,H,L,0,C
3l5x,H,L,0,A
3q1s,H,L,0,I
4lvh,B,C,0,A
4ij3,C,B,0,A
4ye4,H,L,0,G
3grw,H,L,0,A
3pnw,H,G,0,I
2dd8,H,L,0,S
4hkx,A,B,0,E
5eu7,E,C,0,A
4wv1,E,D,0,F
2adf,H,L,0,A
5fcu,H,L,0,G
1r0a,H,L,0,B
2aep,H,L,0,A
4ffy,H,L,0,A
3liz,H,L,0,A
5th9,H,L,0,A
1nsn,H,L,0,S
5k59,H,L,0,A
3b2u,T,U,0,S
5do2,C,D,0,B
4np4,H,L,0,A
4irz,H,L,0,A
1yjd,H,L,0,C
1h0d,B,A,0,C
3u30,C,B,0,A
4f3f,B,A,0,C
4d9q,E,D,0,B
5b71,B,A,0,E
4lsp,H,L,0,G
2xwt,A,B,0,C
4k2u,I,M,0,B
4zfg,H,L,0,A
3lh2,I,M,0,T
2jel,H,L,0,P
4rgn,F,G,0,S
4ot1,H,L,0,A
5ggt,H,L,0,A
2j88,H,L,0,A
2h9g,B,A,0,R
4kxz,J,I,0,B
4rdq,I,H,0,A
3uc0,I,M,0,B
5wux,A,B,0,F
1osp,H,L,0,O
4lst,H,L,0,G
5te7,H,L,0,G
4ki5,E,F,0,M
5hbt,D,C,0,B
4liq,H,L,0,E
1tpx,B,C,0,A
5hi4,C,D,0,B
5ggs,A,B,0,Z
3ru8,H,L,0,X
4nx3,B,A,0,D
4cmh,B,C,0,A
1nfd,F,E,0,B
4ffv,D,C,0,B
3ks0,H,L,0,B
4i3s,H,L,0,G
2vxq,H,L,0,A
3lzf,H,L,0,A
1kb5,H,L,0,A | B
3t3p,E,F,0,C
3rkd,H,L,0,A
4okv,C,D,0,E
3wfd,H,L,0,B | C
5f3b,E,F,0,D
5en2,A,B,0,C
3q3g,H,F,0,I
4kuc,F,E,0,I
1jrh,H,L,0,I
4hlz,G,H,0,B | A
3u9p,K,M,0,C
3mxw,H,L,0,A
4qci,H,L,0,C
4f37,H,L,0,A
1ors,B,A,0,C
2r56,I,M,0,B
4cad,K,J,0,L
4lmq,H,L,0,D
2uzi,H,L,0,R
3s35,H,L,0,X
3wih,I,M,0,B
5e94,B,A,0,G
4nnp,H,L,0,A
4fqj,H,L,0,A
1jps,H,L,0,T
2b2x,I,M,0,B
1fsk,C,B,0,A
3hb3,C,D,0,B
4ag4,H,L,0,A
5l0q,F,E,0,D
4k3j,H,L,0,B
2zch,H,L,0,P
5bo1,I,M,0,A
4k94,H,L,0,C | C
5gjs,H,L,0,B | A
1v7m,H,L,0,V
3h42,H,L,0,B | A
3mj9,H,L,0,A
3o2d,H,L,0,A
4plj,D,C,0,B
1bgx,H,L,0,T
3sdy,H,L,0,B | A
4hwb,H,L,0,A
1lk3,H,L,0,A
5j13,C,B,0,A
3d9a,H,L,0,C
3r1g,H,L,0,B
4jqi,H,L,0,A | V
4lvn,C,B,0,A
5kw9,H,L,0,A
3cx5,J,K,0,E
4dtg,H,L,0,K
5mvz,H,L,0,U
5v7j,D,E,0,B
4jr9,H,L,0,A
3nh7,J,N,0,C
5tq0,H,L,0,A | B
3ldb,C,B,0,A
3pgf,H,L,0,A
5tz2,H,L,0,C
5mi0,B,C,0,A
5d96,J,I,0,D
3w9e,A,B,0,C
2oz4,H,L,0,A
1ob1,B,A,0,C
4m62,I,M,0,T
2fd6,H,L,0,U
5czx,H,L,0,A
3gi9,H,L,0,C
5e8e,B,A,0,H
4j6r,H,L,0,G
5bv7,H,L,0,A
4rrp,K,E,0,Q
3l95,H,L,0,Y
2xqb,H,L,0,A
4leo,A,B,0,C
4cni,H,L,0,C
5veb,A,B,0,X
4wfe,G,F,0,B
2q8b,H,L,0,A
2qqk,H,L,0,A
5vpg,D,C,0,A
4jzj,A,B,0,D
2vxt,H,L,0,I
2ih3,A,B,0,C
5tih,H,L,0,A
5dfv,C,D,0,A
5dhv,H,L,0,M
5h35,H,I,0,D
5ikc,H,L,0,N
1eo8,H,L,0,A
1w72,H,L,0,A | C
3gjf,H,L,0,A | C
3wkm,I,M,0,B
4ydj,A,B,0,I
4ydv,H,L,0,P
5ukr,H,L,0,G
3eyf,B,A,0,E
4dqo,H,L,0,C
4lsu,H,L,0,G
4zs7,H,L,0,A
4nzr,H,L,0,M
5dmg,E,F,0,X
4ud3,A,a,0,C
3qnz,B,A,0,C
5dsc,E,F,0,M
4o58,H,L,0,A
2otu,D,C,0,Q
4g6f,H,L,0,P
4xvj,H,L,0,A
4rwy,H,L,0,A
4zto,H,L,0,P
4o4y,H,L,0,A
5f96,H,L,0,G
4jzo,G,H,0,L
1ce1,H,L,0,P
2b0s,H,L,0,P
5lcv,H,L,0,A | B
3ggw,B,A,0,E
5w6g,H,L,0,A
5dd0,H,L,0,P
1bog,B,A,0,C
4jpv,H,L,0,G
4wht,G,H,0,g
5dfw,H,h,0,A
5uem,H,L,0,G
3mlr,H,L,0,P
5ds8,H,L,0,P
1tzh,B,A,0,W
3se8,H,L,0,G
3uji,H,L,0,P
5u3m,H,L,0,A
